"Dstat 0.7.2svn CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","drivers-perf-01",,,,"User:","drivers"
"Cmdline:","dstat --proc --cpu --cpu-use --sys --mem-adv --swap --page --disk -D total,sda,sdb --disk-avgrq --disk-avgqu --disk-svctm --disk-tps --disk-wait --net --time --output cassandra-stress-large-objects.csv 1 370",,,,"Date:","02 Sep 2015 06:32:54 PDT"
"procs",,,"total cpu usage",,,,,"cpu usage",,,,,,,,,,,,,,,,,,,,,,,,"system",,"advanced memory usage",,,,,,,,"swap",,"paging",,"dsk/total",,"dsk/sda",,"dsk/sdb",,"sda","sdb","sda","sdb","sda","sdb","dsk/total",,"dsk/sda",,"dsk/sdb",,"sda",,"sdb",,"net/total",,"system"
0,0,0,0.042,0.083,99.875,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,611,1284,135170646016,10389643264,114956378112,205807616,9290997760,364544,1007616,328826880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,2969,02-09 06:33:03
9,0,2,9.091,1.760,89.108,0.042,0,26.733,2.020,0,1,1.980,8.081,14,13,16.327,19.192,22.222,12.121,0,0,0,0,10.891,12.121,9.091,50,9,10,11.111,15.152,40608,84022,135170646016,10390085632,114926542848,205815808,9320382464,29728768,1007616,328826880,0,0,0,0,0,12288,0,12288,0,0,12,0,0.012,0,6,0,0,2,0,2,0,0,0,6,0,0,33816833,599805,02-09 06:33:04
6,0,0,13.470,8.440,77.153,0.938,0,21.212,15.306,13.265,8.163,11.111,18.367,29.474,35.714,36.364,31.579,43.617,26.804,8.163,11.111,12.121,7,6.061,1.980,22.917,40,24.742,39.362,41.667,42.105,274939,247669,135170646016,10387410944,114809290752,205824000,9440301056,1712128,1007616,328826880,0,0,0,0,0,143675392,0,143675392,0,0,879.674,0,5.112,0,1.417,0,0,319,0,319,0,0,0,16.025,0,0,122770504,2335885,02-09 06:33:05
8,0,0,13.908,8.404,77.090,0.597,0,26.531,21.429,23.469,15.152,14.141,26,42.105,45.161,31.633,36.735,31.959,33.673,8.081,0,7.071,12.371,10,5.051,26.531,43.617,40.625,22.449,19.588,12.121,250366,245933,135170646016,10387128320,114691010560,205832192,9558904832,16412672,1007616,328777728,0,0,0,0,0,101171200,0,101171200,0,0,941.010,0,3.452,0,1.638,0,0,210,0,210,0,0,0,16.133,0,0,122217944,2311971,02-09 06:33:06
7,0,0,13.462,9.231,76.410,0.897,0,26.263,17.347,21.429,23.232,15.464,26.804,44.211,44.211,31.250,41.237,38.542,32.292,2,9,7.071,11.111,3,3,27.083,47.872,43.011,19.388,17.347,18.367,269180,246107,135170646016,10390593536,114569183232,205844480,9677033472,4591616,1007616,328998912,0,0,0,0,0,133877760,0,133877760,0,0,937.161,0,4.428,0,1.634,0,0,279,0,279,0,0,0,16.115,0,0,122992986,2358748,02-09 06:33:07
6,1,0,13.220,8.785,77.313,0.682,0,18.367,24.490,18.367,12,18.367,27,42.105,44.330,27.083,29.474,32.990,32.292,11.224,11.111,2,5.051,3.030,1.980,26.531,43.158,41.053,38.384,17.526,21.429,274607,243691,135170646016,10392621056,114445373440,205873152,9795948544,1998848,1007616,331837440,0,0,0,0,0,115941376,0,115941376,0,0,943.608,0,4.172,0,1.627,0,0,242,0,242,0,0,0,16.446,0,0,122917310,2341777,02-09 06:33:08
7,0,0,19.133,8.291,71.684,0.893,0,33.333,33.333,33.673,26.531,25.253,40.816,43.878,46.875,36.735,39.796,42.268,38.776,3,15,4.040,10,10.101,3.061,32.292,41.667,43.878,32.653,25.253,21.212,247298,217052,135170646016,10390351872,114337361920,205889536,9903505408,2899968,1007616,334544896,0,0,0,0,0,110211072,0,110211072,0,0,944.057,0,3.676,0,1.656,0,0,226,0,226,0,0,0,17.062,0,0,109408458,2014505,02-09 06:33:09
5,0,0,16.660,8.032,74.458,0.850,0,29.897,20.408,42.424,15.306,24.242,46.939,39.583,52.632,29.592,27.835,26.804,25.773,17,3.061,1.980,2,17.172,10,57.576,42.105,35.484,17.172,15,16.327,266606,247069,135170646016,10396000256,114115506176,205926400,10114928640,109809664,1007616,339292160,0,0,0,0,0,110301184,0,110301184,0,0,928.556,0,3.880,0,1.569,0,0,232,0,232,0,0,0,16.793,0,0,123203587,2346419,02-09 06:33:10
4,0,0,14.535,8.542,76.031,0.892,0,21.212,28.571,22.222,17.172,18.182,82.178,36.170,43.158,22.680,22.680,24.490,24.490,8.081,16.327,2.020,16.327,7.071,10.204,21.875,54.639,37.113,7.143,10.204,19.388,308540,249647,135170646016,10396119040,113814806528,205938688,10408677376,268967936,1007616,346112000,0,0,0,0,0,133033984,0,133033984,0,0,941.420,0,4.508,0,1.609,0,0,276,0,276,0,0,0,16.348,0,0,122315494,2327473,02-09 06:33:11
5,0,0,13.401,7.506,78.456,0.636,0,20.408,17,18.367,12.121,16.495,92.929,35.052,37.895,30.928,29.592,30.928,24.742,10.101,4.950,2,12.121,0,0,20.619,35.789,34.375,7.071,7,17.347,257020,248506,135170646016,10396127232,113489739776,205955072,10724605952,483815424,1007616,355225600,0,0,0,0,0,102146048,0,102146048,0,0,950.019,0,3.352,0,1.543,0,0,210,0,210,0,0,0,15.962,0,0,123873445,2375968,02-09 06:33:12
4,0,0,14.213,8.596,76.340,0.851,0,25,20.408,17.347,18.557,27.273,66,36.170,59.375,13.265,22.680,42.424,22.680,14.141,9.091,12.121,17.172,14.141,3.960,23.469,46.316,35.052,7,8.081,12.245,298780,249675,135170646016,10398486528,113184182272,205971456,11019128832,642936832,1007616,363884544,0,0,0,0,0,133873664,0,133873664,0,0,947.362,0,4.472,0,1.565,0,0,276,0,276,0,0,0,16.217,0,0,122124926,2328655,02-09 06:33:13
1,2,0,17.076,6.398,72.119,4.407,0,29.167,29.293,23.232,24.242,19.588,25.773,36.735,44.898,28.283,91,50.515,45.918,16.162,16.162,21.212,4,10.101,6.061,23.469,38.144,23.158,23.232,26.804,12.871,147258,223793,135170646016,10396200960,113062645760,205975552,11139678208,213270528,1007616,367153152,0,0,0,0,0,472948736,0,472948736,0,0,1016.374,0,124.340,0,0.992,0,0,911,0,911,0,0,0,114.077,0,0,109450201,2029449,02-09 06:33:14
4,1,0,12.564,10.264,73.254,3.918,0,29.293,23.711,28.571,27.273,22.449,42,42.708,42.708,25,61.458,45.918,47.423,8.081,2,14,15.464,11,11.224,24.742,41.667,37.500,9.184,22.222,11.111,383768,258612,135170646016,10396442624,113545080832,206020608,10660110336,8065024,1007616,363999232,0,0,0,0,0,407990272,0,407990272,0,0,984.759,0,53.036,0,1.195,0,0,807,0,807,0,0,0,91.019,0,0,121424190,2290095,02-09 06:33:15
5,0,0,13.916,8.019,77.259,0.806,0,15.152,14.286,15,21.212,17,62.245,38.542,17.347,19.192,21.649,50.515,23.711,6.061,5.051,11.224,6,16.495,3,39.175,32.632,17.347,34.375,37.500,22.449,262879,253713,135170646016,10397081600,113254490112,206032896,10950389760,190238720,1007616,363659264,0,0,0,0,0,109412352,0,109412352,0,0,917.146,0,3.716,0,1.579,0,0,233,0,233,0,0,0,15.966,0,0,123785662,2355125,02-09 06:33:16
6,1,0,15.198,9.153,74.840,0.809,0,21.212,25.743,25.510,24,21.212,82,42.708,19.388,19.192,27.551,30.928,25.510,11.111,6,20.202,6,14,6.061,25.510,41.053,13.131,51.546,43.158,10.101,319589,255083,135170646016,10398208000,112948625408,206045184,11248861184,355999744,1007616,369913856,0,0,0,0,0,129982464,0,129982464,0,0,954.440,0,4.504,0,1.573,0,0,268,0,268,0,0,0,16.507,0,0,122820320,2355320,02-09 06:33:17
2,0,0,14.037,7.869,77.329,0.766,0,49.495,27.551,15.306,18.557,19.192,53,36.170,34.343,20.619,22.917,29.167,21.649,2,8.081,7.143,7,10.204,8.081,21.875,36.458,7.071,35.484,36.842,9.091,252375,252613,135170646016,10397110272,112637730816,206053376,11552202752,559431680,1007616,378556416,0,0,0,0,0,104275968,0,104275968,0,0,942.847,0,3.572,0,1.526,0,0,214,0,214,0,0,0,17.084,0,0,119291230,2266000,02-09 06:33:18
3,2,1,18.713,7.028,72.481,1.778,0,27.835,25.510,29.293,20,25.253,48.980,37.113,51.546,45.455,31.633,46.465,27.551,13.265,16.327,10,11.111,9,8,21.212,39.175,22,36.735,38.144,27.273,221424,205718,135170646016,10399940608,112418521088,206061568,11761831936,458563584,1007616,385298432,0,0,0,0,0,237502464,0,237502464,0,0,985.161,0,45.296,0,1.229,0,0,472,0,472,0,0,0,70.161,0,0,102679262,1900625,02-09 06:33:19
3,1,0,9.356,5.461,78.323,6.859,0,45.545,19.192,19.388,10.101,17.526,62.245,29.592,15.152,96.939,18.367,18.557,18,6,2.020,5.051,0,19.388,1,17.347,27.835,7.071,27.835,28.125,7.143,144643,251948,135170646016,10399608832,112295620608,206069760,11882053632,123879424,1007616,388300800,0,0,0,0,0,518610944,0,518610944,0,0,1014.830,0,125.700,0,1.003,0,0,998,0,998,0,0,0,138.020,0,0,123257917,2348059,02-09 06:33:20
4,0,0,13.064,10.298,75.106,1.532,0,25.510,25.510,19.388,47.959,16.162,24.242,41.667,26.531,35.714,36.082,39.175,39.583,6.061,8.081,7.071,3,11.111,12.121,29.897,36.458,17.347,36.842,37.500,15.306,391641,244960,135170646016,10399612928,112803733504,206082048,11386814464,71118848,1007616,375410688,0,0,0,0,0,237232128,0,237232128,0,0,965.244,0,8.768,0,1.425,0,0,479,0,479,0,0,0,18.597,0,0,118948941,2247245,02-09 06:33:21
7,0,0,15.594,9.118,74.393,0.895,0,29,19.588,28.283,8.163,11.111,89,41.667,28.125,24.490,32.632,33.684,34.375,16,8.081,3,6.061,8.081,0,24.742,42.553,16.495,43.158,43.617,24.742,299171,247413,135170646016,10400141312,112486297600,206110720,11696324608,253542400,1007616,382779392,0,0,0,0,0,123973632,0,123973632,0,0,934.915,0,4.328,0,1.699,0,0,259,0,259,0,0,0,16.664,0,0,123528034,2368863,02-09 06:33:22
4,0,0,15.496,8.940,74.798,0.766,0,21.212,18.367,33.333,17,23.469,93.069,33.673,29.897,14.286,29.592,28.866,30.612,12.245,14,5.051,4,14.286,0,25,45.833,6,44.792,44.792,20,287660,249423,135170646016,10400690176,112167337984,206123008,12006531072,459358208,1007616,390971392,0,0,0,0,0,109236224,0,109236224,0,0,935.724,0,3.700,0,1.649,0,0,228,0,228,0,0,0,16.298,0,0,122406044,2332127,02-09 06:33:23
7,1,0,13.928,8.153,77.113,0.807,0,51.020,20.202,16.327,19.192,15.152,31.633,34.043,22.449,18.182,29.897,25,53.061,10.101,11.224,17.347,3.030,11.111,5.051,30.303,34.043,13.131,34.043,35.417,5,294992,252362,135170646016,10399195136,111858503680,206151680,12308045824,625135616,1007616,399757312,0,0,0,0,0,135004160,0,135004160,0,0,941.718,0,4.524,0,1.500,0,0,280,0,280,0,0,0,16.100,0,0,123079431,2343981,02-09 06:33:24
4,2,0,19.167,7.522,69.996,3.315,0,44.898,36.735,33.333,20.202,27.273,70.707,40.206,28.571,35.354,24.490,35.714,31.959,9.091,14,12.121,16.832,15.152,27,32.990,37.113,15.464,45.361,45.263,24.490,180000,221536,135170646016,10400395264,111715692544,206159872,12445184000,344821760,1007616,404221952,0,0,0,0,0,349167616,0,349167616,0,0,1009.043,0,88.504,0,1.068,0,0,679,0,679,0,0,0,104.053,0,0,110369771,2050219,02-09 06:33:25
4,1,0,12.612,9.075,74.137,4.176,0,42.424,27,21.649,15.306,15.306,84.848,19.388,48.936,20.619,24.742,26.804,33.673,11.224,27.551,8.081,5.102,8.081,8.081,23.958,49.474,43.750,12.245,1,44.681,285760,248027,135170646016,10398744576,112243101696,206172160,11928334336,71655424,1007616,395300864,0,0,0,0,0,454868992,0,454868992,0,0,1002.598,0,86.044,0,1.111,0,0,885,0,885,0,0,0,117.025,0,0,122993068,2341159,02-09 06:33:26
3,0,0,12.134,7.807,78.829,1.230,0,24.490,27.551,17.172,17.172,15.306,86.869,14.286,36.458,16.327,21.212,19.588,19.588,7.143,3,17.172,12,7.071,12.121,18.182,35.789,31.579,9.091,6.061,31.250,335858,252836,135170646016,10398474240,111988928512,206196736,12180639744,144007168,1007616,397414400,0,0,0,0,0,186343424,0,186343424,0,0,965.189,0,6.840,0,1.472,0,0,375,0,375,0,0,0,18.898,0,0,122629398,2350776,02-09 06:33:27
5,0,0,13.328,7.683,78.141,0.849,0,16.162,26.531,15.152,13.131,24.242,90.099,20.202,41.053,8.911,16.495,21.212,22.449,13.861,12.245,8.081,17,14.141,6.061,19.388,40,33.333,0,15,36.458,294210,252294,135170646016,10400264192,111672320000,206229504,12487626752,325533696,1007616,405213184,0,0,0,0,0,125390848,0,125390848,0,0,941.969,0,4.456,0,1.585,0,0,260,0,260,0,0,0,16.954,0,0,123878995,2359483,02-09 06:33:28
1,0,0,13.158,7.725,78.438,0.679,0,22.449,21.429,20.408,13.131,19.388,40.816,8,29.897,9.091,15.152,17.347,21.875,11.224,20.408,13.131,10.101,22.680,6.061,79,30.208,26.531,2,31.313,27.083,263205,243585,135170646016,10399461376,111363080192,206229504,12789043200,519639040,1007616,413839360,0,0,0,0,0,109404160,0,109404160,0,0,937.158,0,3.316,0,1.404,0,0,228,0,228,0,0,0,14.754,0,0,122202477,2317247,02-09 06:33:29
9,1,0,22.189,7.058,69.738,1.014,0,52.525,39,34.694,17.347,24.242,68,32,43.158,28.571,27.551,30.928,36.364,23.232,15.842,10,19.388,14.141,8.081,28.571,38.144,38.542,30.693,26,41.237,244576,221874,135170646016,10399027200,111098605568,206254080,13047062528,587255808,1007616,420704256,0,0,0,0,0,120332288,0,120332288,0,0,904.897,0,8.180,0,1.389,0,0,263,0,263,0,0,0,16,0,0,110656812,2055115,02-09 06:33:30
3,2,0,14.571,6.117,74.511,4.800,0,20,100,14,6.931,13.265,21.429,18.750,37.500,24.742,19.792,40.404,26.804,3.030,1,0,15.152,1,12.121,19.588,37.234,36.082,100,9.184,34.737,157481,249776,135170646016,10399223808,110976610304,206258176,13165154304,162017280,1007616,424407040,0,0,0,0,0,535277568,0,535277568,0,0,1023.981,0,141.804,0,0.976,0,0,1020,0,1020,0,0,0,131.655,0,0,122199732,2331445,02-09 06:33:31
5,1,0,17.020,8.871,70.331,3.778,0,48.980,75.758,39.394,22.449,23.469,38.384,32.990,46.392,44.898,22.680,46.875,23.711,15.152,7.071,14.141,19.192,4.082,25.253,23.711,34.737,31.250,29.592,7,31.959,475414,258537,135170646016,10398224384,111471984640,206315520,12682440704,35717120,1007616,412688384,0,0,0,0,0,356798464,0,356798464,0,0,963.579,0,31.480,0,1.252,0,0,722,0,722,0,0,0,59.579,0,0,122826743,2356792,02-09 06:33:32
4,0,0,23.652,8.790,66.752,0.807,0,80,71.717,47.959,32.323,22.222,56.566,28.571,46.316,32.323,42.424,35.714,34.375,9,7,8.081,17,16,14.141,27.835,46.392,42.708,19.192,21.429,41.053,306469,234903,135170646016,10401251328,111164809216,206364672,12980568064,224477184,1007616,418660352,0,0,0,0,0,114114560,0,114114560,0,0,924.784,0,3.788,0,1.650,0,0,240,0,240,0,0,0,16.117,0,0,119094605,2214083,02-09 06:33:33
6,0,0,16.872,7.990,74.458,0.680,0,41.837,21.212,22.449,22.680,67,43.434,59,40.625,14.141,21.212,23.958,29.897,9.184,9.184,12.121,16.495,14.141,6.061,21.429,38.298,33.684,0,7.071,36.458,296228,257617,135170646016,10398461952,110840152064,206405632,13298962432,429166592,1007616,427671552,0,0,0,0,0,103546880,0,103546880,0,0,941.125,0,3.596,0,1.611,0,0,217,0,217,0,0,0,16.147,0,0,122046446,2324703,02-09 06:33:34
5,0,0,21.160,6.856,71.011,0.973,0,36,20.408,26.263,21.212,60.204,34.694,35.052,29.167,85,28.125,30.303,32.323,14.141,22.222,17.172,21.782,22.449,14.141,17.347,37.500,35.417,14,16.162,26.804,267541,229285,135170646016,10401083392,110558351360,206434304,13570228224,586493952,1007616,435556352,0,0,0,0,0,122163200,0,122163200,0,0,889.730,0,4.208,0,1.363,0,0,266,0,266,0,0,0,16.180,0,0,110221615,2048909,02-09 06:33:35
4,2,0,14.547,8.550,75.117,1.786,0,22.222,52,16.327,20,26.263,59.596,42.708,24.490,20.408,39.394,26.531,14.141,4,14.141,10.204,19.388,7,12.245,23.711,39.583,11.111,41.053,41.053,15.152,266257,253780,135170646016,10400055296,110304366592,206471168,13818363904,526819328,1007616,442396672,0,0,0,0,0,229597184,0,229597184,0,0,977.303,0,43.024,0,1.313,0,0,460,0,460,0,0,0,70.430,0,0,122993046,2341165,02-09 06:33:36
2,1,0,14.091,7.024,74.628,4.257,0,26.804,61.224,16.327,14.286,17.172,98,39.796,20.408,21.212,24.211,26.596,13.131,13.131,13.265,5,17.526,14.141,5.051,25,39.362,2,41.489,42.105,8,140115,251030,135170646016,10402152448,110169923584,206479360,13947031552,178798592,1007616,446066688,0,0,0,0,0,527216640,0,527216640,0,0,1016.418,0,130.172,0,0.987,0,0,1014,0,1014,0,0,0,138.740,0,0,123133110,2359020,02-09 06:33:37
6,0,0,14.274,9.928,73.583,2.216,0,46.465,33.333,29.293,18.182,20.202,67.347,42.268,19.388,22.680,27.551,35.354,30.928,15.152,11.111,14.286,11,14.141,14,25.773,40.625,10.101,42.708,42.105,9.091,363302,250616,135170646016,10397835264,110599155712,206520320,13533134848,188616704,1007616,435007488,0,0,0,0,0,242094080,0,242094080,0,0,960.931,0,11.252,0,1.385,0,0,490,0,490,0,0,0,23.355,0,0,123239534,2346486,02-09 06:33:38
7,1,0,15.264,8.886,74.617,1.233,0,49.495,24.490,19.388,21.212,13.265,59,43.750,19.588,18.557,51.042,30.208,21.429,6,2.020,11.224,11.111,10.101,18.557,25.773,38.947,12.121,41.489,41.053,19.192,315642,249907,135170646016,10400444416,110282330112,206561280,13839851520,360591360,1007616,442466304,0,0,0,0,0,136835072,0,136835072,0,0,941.046,0,4.676,0,1.901,0,0,284,0,284,0,0,0,16.408,0,0,122753579,2338457,02-09 06:33:39
4,0,0,24.936,8.709,65.293,1.062,0,26.804,44,28.283,74.747,32.653,82,50.515,34.021,25.510,37.755,41.667,30.612,11.111,22,20.792,25.773,8.081,2,36.458,47.423,24.490,47.917,47.368,28.283,304263,224521,135170646016,10399244288,109994356736,206598144,14120980480,536920064,1007616,450473984,0,0,0,0,0,101236736,0,101236736,0,0,781.530,0,3.468,0,1.755,0,0,253,0,253,0,0,0,13.771,0,0,112470439,2088723,02-09 06:33:40
17,0,0,15.470,8.712,74.501,1.317,0,25.743,30.303,12,12,18,85,41.667,26.531,23.232,27.083,32.292,24.490,10.101,6.061,17.347,15.152,5.051,2,48.980,39.362,12.245,40.625,41.053,20.408,306879,250891,135170646016,10399109120,109673631744,206635008,14432874496,729571328,1007616,459403264,0,0,0,0,0,123699200,0,123699200,0,0,954.949,0,4.316,0,2.055,0,0,253,0,253,0,0,0,17.059,0,0,123245916,2346597,02-09 06:33:41
7,2,0,14.103,8.607,73.498,3.792,0,41.837,27.273,17.347,13.265,22.222,83.838,47.959,28.571,23.711,34.343,35.417,22.449,2.020,12.121,8,15.306,14.141,1,26.804,44.211,12.121,47.312,44.211,17.347,229974,254783,135170646016,10401251328,109494218752,206667776,14605185024,510824448,1007616,464330752,0,0,0,0,0,314056704,0,314056704,0,0,1004.154,0,89.932,0,1.425,0,0,613,0,613,0,0,0,121.272,0,0,123411230,2361734,02-09 06:33:42
4,1,0,12.756,7.125,75.683,4.437,0,35.354,23.469,18.182,15.306,18.367,96.970,36.170,26.042,21.649,26.316,28.866,15.464,12.121,0,17.526,3,17.347,0,24.742,42.553,7,42.708,43.158,16,136459,256181,135170646016,10401001472,109362352128,206671872,14733897728,309346304,1007616,467730432,0,0,0,0,0,407887872,0,407887872,0,0,1014.662,0,125.420,0,1.270,0,0,783,0,783,0,0,0,180.092,0,0,122587975,2335021,02-09 06:33:43
6,1,0,14.826,10.153,70.688,4.333,0,44.898,21.429,29.592,19.192,17.347,85.714,42.268,66.667,25.510,28.866,30.928,25.510,9,22.449,18.182,9.091,15.152,14,24.742,38.144,17.526,37.234,38.542,18.367,435909,259474,135170646016,10400473088,109756366848,206696448,14350725120,328163328,1007616,457392128,0,0,0,0,0,259346432,0,259346432,0,0,983.672,0,15.660,0,1.837,0,0,516,0,516,0,0,0,28.681,0,0,122921910,2320353,02-09 06:33:44
6,1,0,21.088,8.886,67.687,2.338,0,40,32.653,24.490,19.192,31.313,58.416,51.546,27.551,25.773,36.082,38.542,27.551,3.061,18,6.061,53,15.152,34.343,34.375,48.958,26.263,47.423,48.936,26.531,305375,224846,135170646016,10399666176,109472817152,206733312,14627692544,467738624,1007616,464744448,0,0,0,0,0,143884288,0,143884288,0,0,936.401,0,5.420,0,2.127,0,0,299,0,299,0,0,0,20.953,0,0,112492893,2088009,02-09 06:33:45
5,0,0,14.813,8.404,75.382,1.401,0,76.768,33.333,24.490,18.182,17.172,63.265,47.423,22.680,18.182,21.649,23.711,8,3,15.306,14.286,13.131,14.433,16.162,27.835,43.617,23.158,2,3.960,40.625,294505,250238,135170646016,10397888512,109142257664,206766080,14950887424,680837120,1007616,473853952,0,0,0,0,0,113123328,0,113123328,0,0,944.201,0,4.084,0,2.410,0,0,234,0,234,0,0,0,17.504,0,0,123229483,2343131,02-09 06:33:46
7,2,0,14.201,8.588,75.383,1.828,0,33.333,18.182,27.273,28.571,32.323,66.667,34.021,22.222,23.711,20.202,19.792,22.449,16.162,13.265,20.408,19.588,13.131,10.101,22.680,36.458,21.429,1,1,71.429,299342,253941,135170646016,10400616448,108854165504,206823424,15228637184,736301056,1007616,481411072,0,0,0,0,0,144420864,0,144420864,0,0,947.040,0,16.592,0,2.027,0,0,299,0,299,0,0,0,25.084,0,0,122962198,2353878,02-09 06:33:47
6,2,0,12.489,7.076,75.405,5.030,0,45.918,16.327,18.182,9,14.286,100,48.958,26.804,23.711,24.742,28.571,26.042,0,18.182,15.152,19.388,0,13.265,26.042,43.158,24.490,7.143,2.041,42.553,127362,243397,135170646016,10400063488,108720865280,206827520,15358787584,447664128,1007616,485109760,0,0,0,0,0,420458496,0,420458496,0,0,1023.948,0,142.916,0,1.250,0,0,803,0,803,0,0,0,148.796,0,0,123565773,2348285,02-09 06:33:48
